date,beaufort,kinabatangan,kota belud,kota kinabalu,kunak,lahad datu,papar,putatan,sandakan,semporna,sipitang,tawau,ranau,tuaran,keningau,kota marudu,kudat,nabawan,pitas,tambunan,tenom,penampang,kuala penyu,tongod,beluran
18/4/2020,6,3,0,18,2,12,1,2,2,1,0,44,0,11,16,0,0,0,0,2,0,11,0,0,0
19/4/2020,6,3,0,18,2,12,1,2,2,1,0,44,0,11,16,0,0,0,0,2,0,11,0,0,0
20/4/2020,6,3,0,18,2,12,1,2,2,1,0,44,0,11,16,0,0,0,0,2,0,11,0,0,0
21/4/2020,3,5,0,16,2,8,1,1,2,0,0,29,1,11,16,0,0,0,0,0,0,9,0,0,0
22/4/2020,3,5,0,16,2,8,1,1,2,0,0,29,1,11,16,0,0,0,0,0,0,9,0,0,0
23/4/2020,3,5,0,16,2,8,1,1,2,0,0,29,1,11,16,0,0,0,0,0,0,9,0,0,0
24/4/2020,3,5,0,16,2,8,1,1,2,0,0,29,1,11,16,0,0,0,0,0,0,9,0,0,0
25/4/2020,3,5,0,16,2,8,1,1,2,0,0,29,1,11,16,0,0,0,0,0,0,9,0,0,0
26/4/2020,3,5,0,16,2,8,1,1,2,0,0,29,1,11,16,0,0,0,0,0,0,9,0,0,0
27/4/2020,2,4,1,19,0,10,0,3,2,0,0,19,1,9,16,0,0,0,0,0,0,6,0,0,0
28/4/2020,2,4,1,19,0,10,0,3,2,0,0,19,1,9,16,0,0,0,0,0,0,6,0,0,0
29/4/2020,2,4,1,17,0,8,0,3,2,0,0,18,1,6,16,0,0,0,0,0,0,4,0,0,1
30/4/2020,1,4,1,15,0,6,0,3,0,0,0,16,1,6,12,0,0,0,0,0,0,4,0,0,1
1/5/2020,1,4,1,14,0,6,0,3,0,0,0,16,1,6,3,0,0,0,0,0,0,4,0,0,1
2/5/2020,1,4,1,14,0,6,0,3,0,1,0,14,1,6,3,0,0,0,0,0,0,4,0,0,1
3/5/2020,1,1,1,13,0,2,0,2,0,1,0,10,1,6,3,0,0,0,0,0,0,3,0,0,1
4/5/2020,1,1,1,13,0,2,0,2,0,1,0,10,1,6,3,0,0,0,0,0,0,3,0,0,1
5/5/2020,1,2,0,10,0,2,0,2,0,1,0,8,1,4,2,0,0,0,0,0,0,3,0,0,1
6/5/2020,1,2,0,10,0,2,0,2,0,1,0,7,1,4,2,0,0,0,0,0,0,3,0,0,1
7/5/2020,1,2,0,10,0,2,0,2,0,1,0,7,1,4,2,0,0,0,0,0,0,3,0,0,1
8/5/2020,1,2,0,7,1,2,0,1,0,1,0,5,1,3,4,0,0,0,0,0,0,3,0,0,1
9/5/2020,1,2,0,7,1,2,0,1,0,1,0,5,1,3,4,0,0,0,0,0,0,3,0,0,1
10/5/2020,0,2,0,6,1,1,0,1,0,1,0,4,1,1,5,0,0,0,0,0,0,3,0,0,1
11/5/2020,0,2,0,6,1,1,0,1,0,1,0,4,1,1,5,0,0,0,0,0,0,3,0,0,1
12/5/2020,0,0,0,4,1,5,0,0,0,4,0,4,1,1,8,0,0,0,0,0,0,2,0,0,1
13/5/2020,0,2,0,6,1,5,0,0,0,4,0,4,1,1,9,0,0,0,0,0,0,2,0,0,0
14/5/2020,0,2,0,6,1,5,0,0,0,4,0,4,1,1,7,0,0,0,0,0,0,2,0,0,0
15/5/2020,0,2,0,4,1,5,0,0,0,4,0,4,1,1,7,0,0,0,0,0,0,1,0,0,0
16/5/2020,0,3,0,4,1,5,0,0,0,3,0,4,1,1,7,0,0,0,0,0,0,1,0,0,0
17/5/2020,0,3,0,4,1,5,0,0,0,3,0,4,1,1,7,0,0,0,0,0,0,1,0,0,0
18/5/2020,0,3,0,4,1,5,0,0,0,3,0,4,1,1,7,0,0,0,0,0,0,1,0,0,0
19/5/2020,0,3,0,4,1,5,0,0,0,3,0,4,1,1,7,0,0,0,0,0,0,1,0,0,0
20/5/2020,0,3,0,4,1,5,0,0,0,3,0,4,1,1,7,0,0,0,0,0,0,1,0,0,0
21/5/2020,0,3,0,4,1,5,0,0,0,3,0,4,1,1,7,0,0,0,0,0,0,1,0,0,0
22/5/2020,0,3,0,4,1,5,0,0,0,3,0,4,1,1,7,0,0,0,0,0,0,1,0,0,0
